Sequence Number,Stop Point Ref,Latitude,Longitude,Common Name,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Line,->,->,->,->,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
RouteID,->,->,->,->,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Journey Code,->,->,->,->,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Journey Pattern ,->,->,->,->,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Operating Days ,->,->,->,->,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday,"Monday,Tuesday,Wednesday,Thursday,Friday,",Saturday
55,3300RU0128,-,-,Borrowdale Close,07:04,07:04,07:54,07:54,09:14,09:14,10:04,10:04,11:14,11:14,12:24,12:24,13:34,13:34,14:44,14:44,15:54,15:54,17:14,17:14,18:14,18:14,19:08,19:08
56,3300RU0130,-,-,Elterwater Drive,07:04,07:04,07:54,07:54,09:14,09:14,10:04,10:04,11:14,11:14,12:24,12:24,13:34,13:34,14:44,14:44,15:54,15:54,17:14,17:14,18:14,18:14,19:08,19:08
57,3300RU0131,-,-,Kirkstone Drive,07:05,07:05,07:55,07:55,09:15,09:15,10:05,10:05,11:15,11:15,12:25,12:25,13:35,13:35,14:45,14:45,15:55,15:55,17:15,17:15,18:15,18:15,19:09,19:09
58,3300RU0673,-,-,Radcliffe Road,07:05,07:05,07:55,07:55,09:15,09:15,10:05,10:05,11:15,11:15,12:25,12:25,13:35,13:35,14:45,14:45,15:55,15:55,17:15,17:15,18:15,18:15,19:09,19:09
59,3300RU0405,-,-,Brockley Road,07:06,07:06,07:56,07:56,09:16,09:16,10:06,10:06,11:16,11:16,12:26,12:26,13:36,13:36,14:46,14:46,15:56,15:56,17:16,17:16,18:16,18:16,19:09,19:09
60,3300RU0404,-,-,Cyril Road,07:07,07:07,07:57,07:57,09:17,09:17,10:07,10:07,11:17,11:17,12:27,12:27,13:37,13:37,14:47,14:47,15:57,15:57,17:17,17:17,18:17,18:17,19:10,19:10
61,3300RU0392,-,-,Davies Road,07:08,07:08,07:58,07:58,09:18,09:18,10:08,10:08,11:18,11:18,12:28,12:28,13:38,13:38,14:48,14:48,15:58,15:58,17:18,17:18,18:18,18:18,19:10,19:10
62,3300RU0382,-,-,Tudor Square,07:08,07:08,07:58,07:58,09:18,09:18,10:08,10:08,11:18,11:18,12:28,12:28,13:38,13:38,14:48,14:48,15:58,15:58,17:18,17:18,18:18,18:18,19:10,19:10
63,3300RU0541,-,-,Central Avenue,07:09,07:09,07:59,07:59,09:19,09:19,10:09,10:09,11:19,11:19,12:29,12:29,13:39,13:39,14:49,14:49,15:59,15:59,17:19,17:19,18:19,18:19,19:11,19:11
64,3300RU0539,-,-,Co-op,07:10,07:10,08:00,08:00,09:20,09:20,10:10,10:10,11:20,11:20,12:30,12:30,13:40,13:40,14:50,14:50,16:00,16:00,17:20,17:20,18:20,18:20,19:12,19:12
65,3300RU0537,-,-,Hound Road,07:10,07:10,08:00,08:00,09:20,09:20,10:10,10:10,11:20,11:20,12:30,12:30,13:40,13:40,14:50,14:50,16:00,16:00,17:20,17:20,18:20,18:20,19:12,19:12
66,3300RU0535,-,-,Cricket Ground,07:11,07:11,08:01,08:01,09:21,09:21,10:11,10:11,11:21,11:21,12:31,12:31,13:41,13:41,14:51,14:51,16:01,16:01,17:21,17:21,18:21,18:21,19:13,19:13
67,3390ME06,-,-,Victoria Embankment,07:13,07:13,08:03,08:03,09:23,09:23,10:13,10:13,11:23,11:23,12:33,12:33,13:43,13:43,14:53,14:53,16:03,16:03,17:23,17:23,18:23,18:23,19:15,19:15
68,3390ME07,-,-,Ryehill Street,07:13,07:13,08:03,08:03,09:23,09:23,10:13,10:13,11:23,11:23,12:33,12:33,13:43,13:43,14:53,14:53,16:03,16:03,17:23,17:23,18:23,18:23,19:15,19:15
69,3390ME08,-,-,Eugene Gardens,07:14,07:14,08:04,08:04,09:24,09:24,10:14,10:14,11:24,11:24,12:34,12:34,13:44,13:44,14:54,14:54,16:04,16:04,17:24,17:24,18:24,18:24,19:16,19:16
70,3390ME09,-,-,Lammas Gardens,07:16,07:16,08:06,08:06,09:26,09:26,10:16,10:16,11:26,11:26,12:36,12:36,13:46,13:46,14:56,14:56,16:06,16:06,17:26,17:26,18:26,18:26,19:18,19:18
71,3390S5,-,-,Nottingham Railway Station,07:18,07:18,08:08,08:08,09:28,09:28,10:18,10:18,11:28,11:28,12:38,12:38,13:48,13:48,14:58,14:58,16:08,16:08,17:28,17:28,18:28,18:28,19:20,19:20
72,3390M5,-,-,St Nicholas' Church,07:19,07:19,08:09,08:09,09:29,09:29,10:19,10:19,11:29,11:29,12:39,12:39,13:49,13:49,14:59,14:59,16:09,16:09,17:29,17:29,18:29,18:29,19:21,19:21
73,3390F2,-,-,Friar Lane,07:21,07:21,08:11,08:11,09:31,09:31,10:21,10:21,11:31,11:31,12:41,12:41,13:51,13:51,15:01,15:01,16:11,16:11,17:31,17:31,18:31,18:31,19:23,19:23
